marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,n_reviews,sentiment_score
US,14391210,RMC6ESIHDJHO8,B009XRHRZC,756206582,Dutch Soft Licorice Clogs-(Klompjes Drop)-GLUTEN FREE-4oz bag,Grocery,1,0.0,0.0,N,Y,sort of like eating some Brie cheeses that waft ammonia up the ...,"I can taste an ammonia after taste with this licorice. So, so gross, sort of like eating some Brie cheeses that waft ammonia up the sinuses. I am so disappointed because it is difficult to find gluten free licorice (black is real, the red stuff is just candy).  The one shaped like cats is thinner and did NOT have that aftertaste.",2015-08-10,1,-0.547
US,17741875,R250ZPZ3JJF5SM,B00OKZSZP8,847610248,Tealyra - Everyday Uji Matcha Green Tea Powder - Pure Japanese - Superior Antioxidant Content - All Day Energy - Improved Health - Lattes - Smoothies - Baking - Organically Grown,Grocery,1,1.0,3.0,N,N,This is the absolute worst Matcha! Made me sick to my stomach,"This is the absolute worst Matcha ! Made me sick to my stomach. I have had experience with matcha for a year and it has to be the bottom of the barrel ..Rishi, Pure Chimp,O-Cha is good matcha, but this Tealyra Matcha is crap, DO NOT BUY IT, IT WILL BE A WASTE OF YOUR MONEY!",2015-08-07,4,-0.9106
US,13861214,R1X6047VQJ7JQ7,B00T77QT5M,290213412,"Barnana Organic Chewy Banana Bites Variety Pack, 12 Count",Grocery,1,0.0,2.0,N,Y,These taste like rotten moldy bananas,"These taste like rotten moldy bananas. I  was trying to find a product that came close to the banana chunks that the Philippine brand made since I can't seem to find them anymore, but these aren't even edible much less comparible.<br />Unfortunately it won't let me give no star.",2015-08-07,3,-0.4939
US,37337835,R3SV31LUR8QP5,B00FIQLAPA,264430861,"Ice Breakers Berry Sours Original Sours, 1.5-Ounce Pucks (Pack of 8)",Grocery,1,1.0,1.0,N,Y,Not as pictured! Definitely avoid this item!,"Fraud, pure and simple. Item delivered was a Chinese food product, with no content information in English. That includes contents and expiration dates. Everything is in Chinese. If I had known this, I never would have ordered this, and Amazon.com needs to protect customers from this outrage. DO NOT ORDER THIS PRODUCT FROM AMAZON.COM!",2015-08-06,6,-0.8209
US,13403681,R1AY63RMD0KFBT,B00SHR75HO,697739221,Just Add Coffee Protein Creamer - Nonfat & No Added Sugar.,Grocery,2,1.0,1.0,N,Y,I didn't mind the taste but It curdled when i ...,"I didn't mind the taste but It curdled when i mixed it with my coffee, so gross!  The expiration date was for a year from now so not sure what is in this but I will pass.",2015-08-04,14,-0.8638
US,10758520,R2CVIYP5R1B9BG,B009ZC6H4C,258997612,"Lakewood Organic Pure Purple Carrot, 32 Ounce (Pack of 6)",Grocery,1,0.0,1.0,N,Y,"WARNING not sealed, unsafe, made me nauseous and terrible diarrhea !","This juice was very expensive & I've purchased it other places ..THIS , was unsealed, and made me very ill !",2015-08-04,16,-0.5244
US,28422149,R1RSYR3TYTYR0X,B00E4URMI0,494982449,Cheez-It White Cheddar Baked Snack Crackers - 7oz - 2 boxes,Grocery,1,0.0,0.0,N,Y,Made me sick,I received nothing by crumbles and these made both myself and my mom sick to our stomach.  I will NEVER buy food online again.  Terrible idea.,2015-08-03,2,-0.7506
US,49744540,R2NKFZBXVXV142,B002IEVJRY,193351344,Illy issimo Coffee Drink (Pack of 12),Grocery,1,4.0,6.0,N,Y,Gross and dangerous additives,"Ugh. This stuff is the worst! I made the huge mistake of reading the reviews and not reading the ingredients :( Everyone was all pumped up about Illy being legit Italian and purist with just coffee and milk and cocoa... nope. It is full of weird chemicals and... Carrageenan!!! BARF! Really Illy? I and everyone I know avoids it like the plague as studies are constantly coming out about how detrimental to mammal digestive tracts it is. Wiki it, you'll find freaky facts about this seaweed derivative like &#34;dietary studies have observed colitis-like disease and tumour promotion&#34;. I mean, it's flipping coffee. Do we have to put crap like this in everything? SO bummed. Get it together Illy.",2015-08-03,28,-0.9086
US,21136559,R1O7BCWK0IJ1C8,B00IDQXU00,786922748,"O.N.E. Coconut Water (4 Count, 11.2 Fl Oz Each)",Grocery,1,0.0,0.0,N,Y,It was gritty and tasted like rotten juice water,I could not choke down more than a few swallows.  It was gritty and tasted like rotten juice water.,2015-08-03,8,0.2617
US,23216349,R3A3HPH1CDNF5C,B00CBT7HW2,803467059,Jans Soursop Juice - Graviola Juice - 100% Soursop juice 250ml (Pack of 48),Grocery,3,0.0,0.0,N,Y,Makes me a little sick but tastes good,I like this but always seem to get a slight stomach ache when I drink it.  And I have a pretty strong stomach!,2015-08-02,26,0.8122
US,22065906,R13M9SVYJXWRV,B000X1Q1G8,238652368,"Walden Farms, Peanut Spread Calorie-Free, 12-Ounce",Grocery,1,1.0,1.0,N,N,All 7 of us thought this basically tasted like rotten dirt paste,"Organised a diner with friends. All 7 of us thought this basically tasted like rotten dirt paste. It's HILARIOUS how bad this tastes and smells. There is NO WAY someone bought this twice lol. The walden farms raspberry jelly, however, is awesome.",2015-08-02,342,0.5859
US,52425231,R29QX8ZSPSSNOX,B007EC5MIM,310023253,"Jiffy Pop Butter Popcorn, 4.5 oz (Pack of 3)",Grocery,1,0.0,1.0,N,N,This is a dangerous product,"Having followed the directions, I can say this is a dangerous product.  It says it's acceptable to use on a gas range, but my range caught the remaining edge of the paper on fire, and that burned about 1/2 the popcorn.  I had 2 of these, and this happened on the first one when I put it on med, so I tried low on the 2nd one and it happened again.  It's clear this is not usable on a gas range.<br /><br />I hate this product and I wish they would say this is approved only for gas ranges.",2015-08-01,55,-0.2424
US,377165,R37SP3M0K5PKQB,B00N1RGMUG,433593223,"Nopal Bros Spicy Dried, Cactus Snacks,1.41 Ounce Bags (Pack of 5)",Grocery,1,0.0,0.0,N,N,The Nopal is nasty tasting Tastes like rotten prume and tabaco,The Nopal is nasty tasting  Tastes like rotten prume and tabaco mixed,2015-08-01,2,-0.6597
US,13942695,RRO96GT6WX1OS,B0000CNU1X,459955994,Hime Powdered Wasabi (Japanese Horseradish) - 1 oz.,Grocery,1,0.0,0.0,N,Y,"Old, stale, icky","Old.  I've gotten this product in a retail store, and it was great.  This tasted old and dusty.  Tossed it out after one use.... Tossed it in the middle of that use...",2015-07-31,31,0.6249
US,50817445,R30VZHOSGHZFTY,B007IW305A,118841434,"Ajika Regal Pilaf with Nuts and Rasins -Whole Spice Aromatic Blend for Basmati Rice, 5-Ounce",Grocery,1,1.0,1.0,N,Y,"Terrible, buggy, rotten smell","What a different experience the other person who reviewed this item had.from mine. When i opened my jar, tiny little bugs appeared, crawling from inside the jar. The smell was strange, unpleasant, like spoiled refuse. The worst part was after i covered the jar and the jar was moving on the counter from the bugs inside of it. Absolutely horrifying. I wish now I'd taken a video of it - it was like something out of Poltergeist! Needless to say this item was thrown way (not inside the house) and i will not purchase any Ajika products ever again. I wish I could get the smell out of my nose, it's lingering there like a bad dream.",2015-07-29,2,-0.6734
US,1242358,R1IIZBJ68245XG,B008VATOPS,763353887,"Nutra Fig California Figs, 9 Ounce (Pack of 24)",Grocery,1,0.0,0.0,N,N,"Yuck, just horrible , avoid if you really like figs!",Taste like rubber!,2015-07-28,2,0.4199
US,30804716,R3AS6OXW82P248,B00VN76PCQ,584830304,"Crunchies Freeze Dried Fruit Snack Organic Variety Pack, 5 Count (Pack of 6)",Grocery,3,0.0,1.0,N,Y,Disappointing and dangerous for toddlers,"These were rather  disappointing - they are very tiny bits of freeze dried fruit in a very small package. The mango and apple bits are very hard, even when soaked in milk (I use this type of fruit in cereal). I definitely would not give these to toddlers because of danger of choking on the hard ones.",2015-07-24,1,-0.8437
US,53070937,R38UX4OTWW0MEH,B006VGWALO,401444631,"Dried Cranberries, 1LB",Grocery,3,0.0,0.0,N,Y,"Yummy, but read the contents carefully in case you wish to avoid some of the additions.","I should have read the ingredients more carefully, but still a high quality product.",2015-07-18,39,0.1018
US,28021589,R2EF3KW7G3I4J0,B00016AU3K,804798004,Yogi Tea Co. - Kava Stress Relief - 16 teabags,Grocery,3,0.0,0.0,N,Y,"Works for some, but you'll probably get sick of it","Have heard more successful results from some friends of mine; I felt no noticeable relaxation effects. After a few days, the smell and taste became slightly nauseating.",2015-07-18,66,0.8553
US,21898031,R3IYLFPISUW6VQ,B00GVXNTJY,923402324,"Pure N Simple 100% Pure Honey, 5 lb (80 oz) Bulk Size",Grocery,1,21.0,32.0,N,N,"I get sick and tired of people, trying to ...","I get sick and tired of people,trying to pass off junk as honey. Get a real job an work for it,,shammer,scamer.RIP OFF",2015-07-16,2,-0.7351
US,27549061,RSQQLI4BHXF10,B009EQI2NI,473821336,"The Original Soupman, 17.3 Ounce",Grocery,1,1.0,2.0,N,N,made me sick,"Tried it twice, first time made me sick, second time same result. Thought maybe it was just a bad batch or perhaps something else that day didn't sit well, probably some reaction to a preservative they use or the dates on the boxes aren't accurate, either way 100% of the time I've tried it it's made me ill.",2015-07-12,20,-0.8863
US,41157135,RRQQUOSXWNEM4,B00HS98ZXK,987114704,Three Bakers Gluten Free Rye Style Bread (Pack of 3),Grocery,1,0.0,1.0,N,N,It tastes great but makes me sick,"It is the best gluten free bread on the market, but it makes me have really bad diarrhea every time I eat it.  Is anyone else experiencing similar issues?",2015-07-11,6,-0.3484
US,43936929,RWT34J7LRMH8G,B00EYNR4H6,417817499,"Bolthouse Farms DAILY GREENS ""Kale, Spinach, Romaine"" 15.2 oz (12 Count)",Grocery,1,2.0,2.0,N,N,Made me sick,"Normally I don't even write reviews for anything but this definitely deserves a review, and for all the wrong reasons. I wanted to like this drink. The taste wasn't so great, but before I had even finished the whole thing I got really nauseous and threw up. It made me really sick until it was out of my system.",2015-07-06,95,-0.8523
US,37925699,R30WY3KOOEHNLB,B00EYFOFF8,576315146,"Jelly Belly Bean Boozled 3rd Edition New Flavors Stinky Socks Beans, 3.2 Ounce",Grocery,1,0.0,1.0,N,Y,Makes children sick,My child threw up!,2015-07-03,142,0.0
US,18333274,R1KTH53MT0PAK2,B00J074W7Q,2499702,"Orgain Organic Plant Based Protein Powder, Packaging May Vary",Grocery,3,1.0,3.0,N,Y,Then I got sick with the double over painful gas cramps that others discuss and it takes two ...,"It was okay.  I was okay with the stevia and adding things to it.  It is a powder and so you may have to use a spoon to stir on top of a blender.  There is a slight hint of vanilla and it is not gross.  I was using it to replace two meals a day for weight loss.  Then I got sick with the double over painful gas cramps that others discuss and it takes two days to get it out of you.  A doctor told me it was the inulin others mentioned here.  I have tried it again.  If I stick below ten grams of fiber from the inulin in one day, I am okay.  More than this, it is very painful, had to eat kefir and take pepto to make the pain stop. If you have trouble with inulin, limit your consumption to no more than one serving a day or every other day.  I did not have this problem with the liquid version of this product",2015-07-02,472,-0.942
US,2568021,RJDJRB7GXOHKR,B0009F3SAK,460300239,"Yogi Tea, Skin Detox - Soothing Rose Hibiscus, 16 Count (Pack of 6), Packaging May Vary",Grocery,1,17.0,24.0,N,N,Extremely sick,"I liked the taste, but this made me extremely sick. The first two times I drank it, it was fine. By the third day I felt sick immediately. I had been running back and forth from the bathroom at least 50 times in one day. I was nauseous, light-headed, and bed ridden for three days. I'm a pretty healthy person as it is, I just wanted to try a new tea. I guess I should've looked more into what detoxing does to you. The morning after taking it, I threw up immediately and continued to make rounds to the bathroom. I wasn't able to eat so naturally, I lost 3 pounds. Terrible experience :/",2015-07-01,299,-0.8872
US,40477668,R2MXK4XQCCQ33M,B00BOR6C1Y,539045418,"Yum Yum Gum Sour - 5 Flavor Variety Pack (Sour Grape, Sour Lemon, Sour Boogers, Sour Raspberry, Sour Watermelon)",Grocery,2,1.0,1.0,N,Y,Ended up being icky!,"These tasted great for about 1 second and then became terribly bitter. It was unfortunate because the flavor was great initially. I contacted customer service (Yum Yum Gum) regarding the issue on several occasions, but was ignored each time. They are far from inexpensive, otherwise I would have ignored the issue completely. Oh well!",2015-06-28,4,-0.4981
US,21200972,RMR3L4Z32DXS4,B00J3FZV6G,998297581,"Soursop Graviola Guanabana exotic fruit by Gfruit. This is NOT a Juice, it is 100% Healthy Fruit.",Grocery,1,6.0,8.0,N,Y,It made me sick in my stomach,"After eating this, I feel like dying and my stomach hurts so bad that I can't do anything but be on my bed. It not as fresh as it's suppose to be. Be sure your stomach can handle this before you buy it",2015-06-28,36,-0.3692
US,29483241,R18XS9OGY0CKUD,B00JQR5HQ0,49574478,"Gustaf's Sugar Free Black Licorice Bears, 12 oz Bag in a Gift Box",Grocery,1,0.0,0.0,N,Y,icky,hard,2015-06-26,5,-0.1027
US,44240476,R2LNOU3ZKEU2LV,B0000UC7S8,579098714,"2 canisters of POWER Chai, 14oz.",Grocery,1,1.0,3.0,N,Y,Too strong and made me sick!,"I was extremely excited to finally find a chai mix without dairy as I'm lactose intolerant. I mixed it with almond milk and followed the directions exactly. The taste was good but a little too spicy for me. About an hour after drinking it, I began having horrible stomach cramps and was in the bathroom for the next 6 hours!!! So something in the mix made my tummy sick. Sadly now I'm stuck with two full canisters that I won't be drinking.",2015-06-25,7,-0.938
US,40224756,R122EQQLSNAI2Q,B00F3KEFCQ,147626862,"Macadamia Nuts Raw Unsalted Whole and Halves, 2Lbs by Green Bulk",Grocery,2,0.0,0.0,N,Y,Made me sick. Maybe I'm just reactive to too ...,Made me sick. Maybe I'm just reactive to too many but i think they are a little stale too.  Certainly not as fresh and large at the ones i find at the organic grocer.,2015-06-25,10,-0.2236
US,22024139,R3OLIFL17AFWU9,B00GAB58YQ,653039991,Health Express Crunchy Chocolate Chip Cookies,Grocery,2,0.0,0.0,N,N,"I would avoid these. Weird texture, and not ...","I would avoid these.  Weird texture, and not much chocolate flavor.",2015-06-22,3,-0.4404
US,52427546,R6F2Y2M3YSWL1,B00P58RHK8,830493900,Cheese Bufala Mozzarella Rusticone 7oz ball (4 Pack) fresh in water,Grocery,1,0.0,0.0,N,Y,warm rotten cheese,Cheese arrived warm and spoiled. Nothing much else to say beyond that.,2015-06-22,1,0.2263
US,4424887,R5LN672F31VHR,B0074ESQB0,604158486,"Diet Tea for Men and Women 30 Tea Bags, Three Ballerina",Grocery,1,1.0,2.0,N,Y,worst tea. feeling sick,does not work at all but making me bloated all day long. at the moment because of this tea i am still bloated and having a lot of chest pains to the point i cant sleep. please do not buy this tea. it will make you feel sick.  i will still with Mega Tea Green Tea.,2015-06-21,215,-0.8908
US,4932148,RUHXRT3JP8FGD,B004AVEW8G,111026707,Vegemite (220 gram),Grocery,2,1.0,1.0,N,Y,Turns out vegemite sandwiches are some form of punishment for really horrible criminals. It tasted like rotten nutella,I bought this because of that song &#34;I come from a land down under&#34; after hearing them sing about a vegemite sandwich. Turns out vegemite sandwiches are some form of punishment for really horrible criminals. It tasted like rotten nutella. So must be an acquired taste. My hats off to the man that can eat a jar of this.,2015-06-18,281,-0.9148
US,45406219,R1II0SSWCWA0WZ,B0037R0M74,636575769,Amish Jam - 8 Oz Jar - Qty 3,Grocery,1,2.0,3.0,N,Y,"Avoid, avoid, avoid! Too sweet, Tasteless, and Rhubarb-less emulsion","I wish I had read other reviews on Amazon before ordering six jars.  As other buyers of rhubarb jam note (amidst positive reviews for cranberry and blackberry spreads), the rhubarb jam contains not a hint of rhubarb. It is a very sweet red emulsion with no taste of rhubarb I or any of my family members could detect.  I had intended to give the jam as presents, but will have to discard as the jam is not &#34;presentable&#34; to friends or returnable to the maker.  I grew up eating rhubarb jam in Maine as a child and hoped the Amish version from Illinois would approximate or come close to the flavor and texture I remembered.  I was completely disappointed.",2015-06-13,7,-0.4541
US,1522856,R3H0HN9TLMJZ1X,B00WNE01K0,506605097,"Barcel, Xplosion Takis Chips, 9.9 Ounce",Grocery,1,0.0,4.0,N,N,the taste will make you sick,These chips are absolute garbage DO NOT BUY,2015-06-13,2,0.0
US,37087602,R179N2OWOME0N8,B001EO6852,588551034,"Now Foods, Xylitol",Grocery,1,2.0,3.0,N,Y,"Good, but danger to dogs","DEADLY TO DOGS,<br />The package says, &#34;Note: Do not feed Xylitol to dogs or other pets&#34;.<br />But Xylitol is so harmful that it can kill a dog.  It is 100 more times more toxic to dogs than chocolate.<br />The package should have a &#34;WARNING&#34; not a note.  This is deadly, seriously understated on the package.<br />I personally like the product and use it in my morning oatmeal. Tastes good. My dog got into my morning oatmeal and $2,000. later after 24 hours of glucose IV and monitoring, she is ok.<br /><br />Also, however, people should also know that the latest scientific research shows that the entire &#34;glycemic index&#34; concept of perceived potential benefits from low glycemic impact is now reputed.  Low glycemic foods have not been shown to benefit people with diabetes in long term study.<br /><br />SOURCE: Frank Sacks, M.D., professor, cardiovascular disease prevention, Harvard School of Public Health, Boston, Mass.; Robert Eckel, M.D., professor, medicine, University of Colorado Anschutz Medical Campus, Aurora, Colo.; Dec. 17, 2014, Journal of the American Medical Association",2015-06-13,42,0.1027
US,20656398,R2W6OGGXRGXZQY,B00MW9R2GM,229159103,Organic Oat Baby Cereal Made with Sprouted Whole Grain Oat - 7 Oz. (198 g) - 2 Pack,Grocery,1,0.0,1.0,N,N,stinky!,"My baby liked it at first but then after I used it a couple times I sniffed it and it reeked, like it was bad or expired, although it wasn't expired.  It smelled super rancid though.  I had a second package, also not expired, that hadn't been opened yet so I opened it to sniff test.  It reeked just as bad.  Maybe that's the way it smells but I did not feel comfortable giving any more to my baby.  Too bad because I am a huge believer in eating sprouted grains...",2015-06-12,8,-0.9707
US,3087874,R2QD6A1LC6IJPY,B00EJX1DYG,459799744,COS-SL Kirkland European Cookies with Belgian Chocolate 15 VARIETY FLAVORS Of 49.4 Oz BOX (3 LBS 1.4 Oz),Grocery,2,2.0,3.0,N,Y,Recipient complaints of odd chemical taste and odor.. Caused vomiting and 4 days sick response.,Recipient complaints of odd chemical taste and odor.. Caused vomiting and 4 days sick response.,2015-06-10,32,-0.8074
US,35988214,R3CALCP5GZO97T,B005HG9ET0,192623861,Essentia 9.5 pH Drinking Water,Grocery,1,5.0,6.0,N,N,makes me sick,"This water makes me sick to my stomach for days - it took me a while to realize that whatever minerals in this water do not work well with my body. Every time I drank it, I felt like I had a brick in my stomach. Use caution!",2015-06-10,289,-0.4416
US,36982574,RCD3ST1LPI2KL,B001PB4N7E,286613765,Two Pounds Of Turkish Figs - Organic - Sincerely Nuts,Grocery,1,1.0,1.0,N,Y,Very low quality- avoid,"Very low quality product. Additionally, there was miscellaneous debris and litter inside the package, alongside foodstuffs.",2015-06-10,37,-0.3384
US,48132410,R23NQIB147PI7T,B00MOM45F8,193084016,"RxBar Real Food Coconut Cacao Protein Bar, 1.83 Ounce (Pack of 12)",Grocery,1,1.0,4.0,N,Y,Product gave me and my girlfriend gastroenteritis and I'm exploring legal action.  I would avoid this company at all costs!,"Last week I came down with severe gastroenteritis that had me ill for several days.  I couldn't figure out what the issue was as this product was the only dietary change I had made (I do not eat in restaurants).  After I cleared my illness, my girlfriend came over and had a bar and sure enough she became ill the next day.  I now knew it was the bars.  I have contacted the company to inform them of their poor quality control and given that I work in a medical center with Infectious disease doctors, I will be having the bars tested for both norovirus and bacterial toxins that could have lead to the food poisoning.  I will never buy anything from this company ever again.  The taste of the bars was fine, but having severe illness from a food bar is unacceptable given so many other companies to choose from.  Avoid this company at all costs.",2015-06-09,147,-0.9657
US,3264576,R3PABRJQ0KV7L1,B0009F3POY,711117274,Traditional Medicinals  Tea,Grocery,2,0.0,1.0,N,Y,Made my little one sick,"The pros: It tasted very good. It has a strong licorice flavor. I liked it hot with milk and honey.<br /><br />The cons: Unfortunately although this tasted great, I can't recommend this. After 2 days of drinking this tea, my baby started throwing up quite frequently. Once I stopped drinking the tea she got better. We haven't figured out if she was allergic to somethingin it or what happened. She hasn't shown any allergy symptoms to anything else. I was drinking 3 cups a day when I was doing this and the box recommends 3-5 cups daily. If you decide to try this product I recommend using it with caution.",2015-06-07,1074,0.8485
US,15848340,R2LGOQCN677VH3,B0021WJ970,16099564,"Yummy Spoonfuls Creamy Yummy Pureed Organic, 4-Ounce Tubs (Pack of 12)",Grocery,1,1.0,1.0,N,Y,rotten on arrival,I'll never know how they were because they were rotten when they arrived and one was broken and got all over everything in the box,2015-06-05,8,-0.7506
US,1005266,RMDQMCOFRN26P,B00O2RCGRC,972193872,Delitaliana Grade A Premium Madagascar Gourmet Bourbon Vanilla Beans (Pack of 10),Grocery,1,0.0,0.0,N,Y,"It doesn't smell like vanilla, Just kind of rotten food","It doesn't smell like vanilla, Just kind of rotten food. Do not waste your money!",2015-06-04,95,-0.5666
US,53033437,R2HN25Q2PV3W6E,B00KYW2QGA,361200914,"Chex Gluten Free Oatmeal, 9.54 Ounce (Pack of 2)",Grocery,1,1.0,2.0,N,Y,Allergen danger?,"Both of the people in our family with gluten issues became ill  (&#34;gluten poisoning&#34;) after eating this.  If not gluten,  there is certainly something else going on...",2015-06-03,53,-0.1027
US,41634195,R4JBXKV4KY091,B001E5DRC8,272994749,"Bergin Nut Company Organic Medjool Dates, 14-Ounce Bags (Pack of 2)",Grocery,3,0.0,0.0,N,Y,"I see white mouldy spots on the dates, not ...","I see white mouldy spots on the dates, not all but on quite a few. I am sure you will find others that live up to its described promises.",2015-06-02,62,0.7747
US,20589724,R3GQ94TMRBU3HQ,B00D5Q8M5Q,381670591,"Keebler Zesta Saltine Crackers, 2 Count (Pack of 300)",Grocery,1,0.0,0.0,N,Y,Stale crackers - avoid this product!,The crackers were stale so avoid this product.,2015-06-02,36,-0.4341
US,35691150,RSVAD9EEFN0A,B0009F3SB4,460300239,"Yogi Tea, Skin Detox - Soothing Rose Hibiscus, 16 Count (Pack of 6), Packaging May Vary",Grocery,1,3.0,4.0,N,N,... this issue with this tea but it made me super sick to my stomach and had diarrhea for several ...,"Idk if Im the only one that had this issue with this tea but it made me super sick to my stomach and had diarrhea for several days. I only had a couple cups the first day I tried it, throwing the rest out.",2015-05-30,59,0.1779
US,25936356,R1LKF6PCCHDITL,B00EYAAMVE,193281718,Galaxy Smooth Milk Chocolate 42g (12 Bars),Grocery,1,0.0,0.0,N,Y,avoid buyer - poorly kept product,Awful experience - chocolates were NOT well preserved and had turned white and brittle.,2015-05-30,16,-0.5878
US,39127916,R1CR5AY0NAJJRT,B0019ZHU2Q,136077411,"Ghirardelli Chocolate Intense Dark Bar, Twilight Delight 72% Cacao, 3.5-Ounce Bars (Pack of 6)",Grocery,1,2.0,3.0,N,N,These have unsafe levels of both lead and cadmium. ...,"These have unsafe levels of both lead and cadmium. If the manufacturer was square, it would have the label warning about unsafe chemicals and birth defects.  Many popular chocolates have this problem. Please see the complete list here http://www.asyousow.org/our-work/environmental-health/toxic-enforcement/lead-and-cadmium-in-food/",2015-05-30,193,-0.481
US,39127916,R3N3N8HK4995SK,B006DR0HMU,466189891,Trader Joe's the Dark Chocolate Lover's Chocolate Bar (3.5 oz/ 1.7 oz bar)(Pack of 2 / Total of 4 Bars),Grocery,1,7.0,11.0,N,N,These have unsafe levels of both lead and cadmium. ...,"These have unsafe levels of both lead and cadmium. If the manufacturer was square, it would have the label warning about unsafe chemicals and both defects.  Please see the complete list here http://www.asyousow.org/our-work/environmental-health/toxic-enforcement/lead-and-cadmium-in-food/",2015-05-30,13,-0.4215
US,22952639,R3HT11UPDAKE99,B00BWV22DE,666416024,In Shell Walnuts - Oh! Nuts,Grocery,3,1.0,1.0,N,Y,Some rotten ones,"Too many rotten ones in my 2 bags, or it would be 4 stars",2015-05-28,49,-0.5106
